person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,total_time,A_time,B_time,C_time
767,23:33:59,23:51:02,23:41:12,23:42:38,23:35:42,23:36:24,23:43:03,,male,60+,1023,86,42,0
768,23:34:01,23:35:16,23:34:39,23:34:45,,,,,male,20-39,75,6,0,0
769,23:34:01,23:35:24,,,,,,,female,60+,83,0,0,0
773,23:34:04,23:35:27,,,,,23:34:04,,male,60+,83,0,0,0
774,23:34:05,23:36:31,,,,,,,male,20-39,146,0,0,0
776,23:34:07,23:36:18,23:35:17,23:35:07,,,,,female,60+,131,0,0,0
780,23:34:09,23:36:09,23:34:44,,,,,,male,60+,120,0,0,0
782,23:34:12,23:34:45,,,23:34:12,,,,male,60+,33,0,0,0
783,23:34:13,23:38:38,,,,,23:36:19,23:37:18,male,20-39,265,0,0,59
784,23:34:15,23:35:51,,,,,,,male,20-39,96,0,0,0
787,23:34:19,23:35:33,23:34:57,,,,,,female,60+,74,0,0,0
790,23:34:23,23:50:06,,,23:47:50,23:47:44,23:49:34,23:49:44,female,20-39,943,0,0,10
791,23:34:24,23:34:45,,,,,,,male,20-39,21,0,0,0
792,23:34:27,23:37:04,,,23:34:33,23:36:01,,,female,60+,157,0,88,0
800,23:34:31,23:35:41,,,,,,,male,60+,70,0,0,0
802,23:34:36,23:37:24,,,,,23:34:37,23:34:44,male,60+,168,0,0,7
803,23:34:38,23:35:12,,,,,,,female,60+,34,0,0,0
805,23:34:41,23:35:16,,,,,,,male,20-39,35,0,0,0
806,23:34:41,23:35:09,,,,,,,female,60+,28,0,0,0
815,23:34:49,23:35:15,,,,,,,male,20-39,26,0,0,0
818,23:34:51,23:35:20,,,,,23:34:51,,male,20-39,29,0,0,0
819,23:34:52,23:35:17,23:34:53,,,,,,male,60+,25,0,0,0
825,23:34:54,23:35:17,,,,,23:34:54,,female,60+,23,0,0,0
828,23:34:55,23:35:28,,,,,,,male,0-19,33,0,0,0
829,23:34:56,23:35:20,,,,,,,male,20-39,24,0,0,0
830,23:34:59,23:38:29,,,,,,,male,60+,210,0,0,0
831,23:35:02,23:38:57,,,,,,,male,60+,235,0,0,0
832,23:35:05,23:36:20,,,,,23:35:08,,female,20-39,75,0,0,0
835,23:35:12,23:39:32,,,23:38:30,,23:35:14,23:36:53,male,60+,260,0,0,99
838,23:35:14,23:35:35,23:35:15,,,,,,male,60+,21,0,0,0
849,23:35:22,23:36:49,,,23:35:45,23:35:44,,,female,60+,87,0,0,0
